match_id,tickets_sold_total,seasonpass_holders
3kewmr690bhoid47mku9wfgno,5988,4405
3nrkjdhpc5zse1sdzt1onor2s,6652,4405
3rwouz4640n6ngfbwrwsqkp3o,7385,4405
3vk3btgbt7w7qy9hjp3f2934k,6929,4405
3yp7glzujzj8nc07qp0sd0kr8,6901,4405
42wgdmxzlcn9w08umkea3hpg4,7617,4405
4729fykixfyfwxlbno9zilq8k,7955,4405
4bjgrdur7wdidfbs58xmjynf8,8132,4405
4i4bz7rnjs44z8bt8bnftavbo,7181,4405
4mbxzkhlc9edsor1s0fjsxses,7217,4405
4oobcluwuns3xnlhy5m9m7sic,8274,4405
4s3or8i47or8p70amtotvjlec,7231,4405
4yqzx2kle0xh8c6mbzui5ydjo,7776,4405
539hjt08589esprrqk8xj09as,7939,4405
57i6yyarvjpugxfcvu1v2fl04,8194,4405
5sue6595uizdrssh0wv22egpg,6703,4546
602pbgoexz07st4msln8fq0wk,7114,4546
65chj645tcu0gtoy18rdroyz8,7239,4546
6c8lz4vpdfl8yxo9kgokz9250,7315,4546
6lop4d01krcoktw7peu0xrlec,7622,4546
6rulhyb9xa5yczi1jntilsr9w,8465,4546
6y80kic6abtlkzmkr4oiejkt0,7631,4546
70wtfxx5kccxl5sxj1bvcd8us,8682,4546
77idfj6cmoadi2223efythatw,7178,4546
7dq0nagdoadvgfk4qfxw3lvkk,7956,4546
7mk17ds9sv6rqbsd6o75ppuz8,6979,4546
7qex3cmy0pi6r9v2luba43qqc,7575,4546
7u79waryljwbgwi0mk9gugzkk,5141,4546
7wei2vfmf9wa2ikr3hmt50ljo,7743,4546
7ygyxo6o1uoe8uzbk4nsgeiok,5154,4546
814atdxgv4huojqsu3t0d9vro,5304,4546
82ku9pdoluteqx9sa2bqzmcyc,8132,4546
82ukg77wot5ten1zki8rhuln8,5310,4546
852y9z78ifhike3zkg6dfyluc,5367,4546
89eut1cf33jziticurrctu2ok,8464,4546
98omfw1wagomo5aac4rpyhtlg,6305,4405
9bied5x123qpk7tpdx9t2fml0,6280,4405
9bwhkknuamvj2f60dtr3tdlas,6708,4405
9garbt9ourfmmy4uxcq3f84yc,6878,4405
9j49kwr0mzxabprw5v0rfr3mc,7388,4405
csbw4frxjcvgpv95iekqvb21g,6066,4235
d0y4sncaf09mzv9ms24ck6olw,7749,4235
d256yo3eng04m0fu7b4sl7wno,5025,4032
d4mn5ksbxuvnaww4pmommxhqs,6263,4032
d65hmi7sq03yzr5he1k7ypus4,5025,4032
d7riiuoqud1d84e7gu4givjf8,7502,4235
d80mkemezkz16bqh6lbn8tlhw,5438,4032
dak40etbhbqsr1nxyt50qcg0k,5844,4032
dcl81t8chgq07o8rw8orj5no4,6069,4032
de191c5ia8dqmkvpzprawob2s,5737,4235
dfui3aovgvfccasonp6w5ajh0,5842,4032
dh7ze0l15ri59fuhmnrs8pst0,8111,4235
di0x0as1g324k0hoea1o5vvh0,4688,4032
dkbsomyigazbberxvdmjq7wgk,5040,4032
dmcif0n7veawzigj8cd5bm904,4889,4032
dob21hsimmlz7agqzo8irt5w4,8549,4235
dojq6igk3d5ol4c78rkm0ugb8,6975,4032
dqvzs325coup7j9iqyfcazmdw,5657,4032
dt091ishr3km0wuuhiatev9xw,5721,4032
du1wib350joxeh5hdv9v8yihg,5603,4032
duivyh7ccvqb0o2ykwgvaq5uc,7347,4235
dw8a4f7k9qt9iyxuuno9rvztg,6326,4032
dyrd81lg1d8eb5ptsbq1tg6j8,4937,4032
e0tuth9cc11wefswrzq1cjyms,5962,4032
e1650lh8xyaev5kzm5v3m2kgk,7078,4235
e6vo7nt78kq3sax8h8o1ke4gk,6278,4235
ecz9iyxyc5ira9n59m8cp3bis,7473,4235
enw1n6mhkzvb6uptwhzs4gowk,6720,4235
eqncupz92qy89z9bxks1e0t90,7355,4235
ewgb5fczpfa71pfzihlip6yok,7118,4235
rf7k8o1xjf0xw5zrgpbtmhg,7526,4235
