match_id,pre_match_article_count
3hphnm42ozcm1yye5nocz3ytw,9
3kewmr690bhoid47mku9wfgno,11
3nrkjdhpc5zse1sdzt1onor2s,20
3qd97tj5mca89c1m61vh5j190,20
3rwouz4640n6ngfbwrwsqkp3o,10
3vk3btgbt7w7qy9hjp3f2934k,89
3xm0jsg0h11z1i1y2zizqwhec,9
3yp7glzujzj8nc07qp0sd0kr8,13
41a3ppgub9bq2getrvndrmv4k,10
42wgdmxzlcn9w08umkea3hpg4,3
44q48on0rpshsvmh6e94ls0es,23
4729fykixfyfwxlbno9zilq8k,24
48xc3lu3nk2jq8lu05jqrgfmc,68
4bjgrdur7wdidfbs58xmjynf8,30
4derk4vitzrps5926w5dp7llg,27
4i4bz7rnjs44z8bt8bnftavbo,24
4jf2cc3asaku8kfbswxuns4r8,36
4mbxzkhlc9edsor1s0fjsxses,7
4oobcluwuns3xnlhy5m9m7sic,40
4q0z5ic8pjb74wozk4jt8clxw,5
4s3or8i47or8p70amtotvjlec,77
4vac5nncewvzj0ecddu81chsk,9
4w2seh9hm8htc71niexj6a7f8,17
4yqzx2kle0xh8c6mbzui5ydjo,10
50ljuhsiuflgkyoqabj23q80k,17
54bf3d7pni6yppljo5licwhsk,32
57i6yyarvjpugxfcvu1v2fl04,44
5pcyhm34h5c948yji4oryevpw,22
5sue6595uizdrssh0wv22egpg,39
5wb56hj1k3gel6lkn5se3gqok,37
602pbgoexz07st4msln8fq0wk,5
61xmh1s2xtwsx4noo7sqj6k2c,11
65chj645tcu0gtoy18rdroyz8,10
695t6yuiyw8q7bjv9nnll1atw,6
6c8lz4vpdfl8yxo9kgokz9250,9
6e51m1j7b2y8ycmgv0h215c7o,49
6i180b3iyx583di6at041k4r8,8
6lop4d01krcoktw7peu0xrlec,21
6rulhyb9xa5yczi1jntilsr9w,14
6vul2r4nef60spfw1s0m9nwno,50
6y80kic6abtlkzmkr4oiejkt0,1
70wtfxx5kccxl5sxj1bvcd8us,27
741sm8f1osrj6qvq54ql5sv84,7
77idfj6cmoadi2223efythatw,2
7a76a8362jg3typalwyouhfdg,14
7dq0nagdoadvgfk4qfxw3lvkk,11
7f8hyu2mxs711863i8ui9atqs,56
7mk17ds9sv6rqbsd6o75ppuz8,43
7qex3cmy0pi6r9v2luba43qqc,11
7r6v5k8usx2d5lojp7024ikus,7
7u79waryljwbgwi0mk9gugzkk,1
7w95lgqov6wnfqm2cbcywk6j8,8
7wei2vfmf9wa2ikr3hmt50ljo,43
7xkc6usxncqrp5vbb59u7zlec,3
7ygyxo6o1uoe8uzbk4nsgeiok,38
7ypezm6dgrnx4seixgf565f6c,6
7zt8gyxi7eoab8avc8bpm5y50,4
814atdxgv4huojqsu3t0d9vro,5
82ku9pdoluteqx9sa2bqzmcyc,7
82ukg77wot5ten1zki8rhuln8,1
84iv05xyhc3am31y0fo7hhces,13
84nc9rtln8g0ixfdcs5r0xxxw,31
852y9z78ifhike3zkg6dfyluc,7
86dn3ijocusxpzra33m12qc5w,3
98omfw1wagomo5aac4rpyhtlg,16
99y91w7iktaif0z3bvu6lqtqs,9
9bied5x123qpk7tpdx9t2fml0,54
9bwhkknuamvj2f60dtr3tdlas,3
9d4e9li8vmiuipt83qewm1hqs,4
9eb5kjsrfg1qyk71ynzx2pwd0,10
9garbt9ourfmmy4uxcq3f84yc,1
9h3ot7q260j2zti5eotdzdij8,28
9j49kwr0mzxabprw5v0rfr3mc,7
csbw4frxjcvgpv95iekqvb21g,3
cxtfvvs8g6im8v2btf5nupfro,24
d0te6swsv2y99ywgugc2utbmc,12
d0y4sncaf09mzv9ms24ck6olw,46
d256yo3eng04m0fu7b4sl7wno,14
d3pqkck2grzx98jg4sofhp8us,21
d4mn5ksbxuvnaww4pmommxhqs,48
d5htdqmc8w72upys41sfxhfkk,3
d5vpyuaaynfcg6vv6ixlmfcb8,37
d65hmi7sq03yzr5he1k7ypus4,3
d700mwu32x772ns4veqq32yhg,28
d7riiuoqud1d84e7gu4givjf8,7
d80mkemezkz16bqh6lbn8tlhw,8
d9pbl588401et3engzzakcfmc,9
dawbvc4ebh1knr7qctivmrod0,10
dbqant2dfdnu9vplc4eqpn7dg,7
dcl81t8chgq07o8rw8orj5no4,58
de191c5ia8dqmkvpzprawob2s,4
de8wkd0re6d3g1j29g1ijwmqc,34
df8f3q4scni4n2rc4kvtfyvbo,1
dfui3aovgvfccasonp6w5ajh0,45
dh2jinzfxkjr5uq2xcw047dw4,15
dh7ze0l15ri59fuhmnrs8pst0,31
di0x0as1g324k0hoea1o5vvh0,16
disu0asmlgxkbrbsihhfkin84,27
dkbsomyigazbberxvdmjq7wgk,10
dlnn04m3bhefdkjof0qemprmc,3
dly0jj6xr9hi9nxzv17quzwno,13
dmcif0n7veawzigj8cd5bm904,36
dngvv4b04pq0170pqr3c73uvo,2
dob21hsimmlz7agqzo8irt5w4,17
dojq6igk3d5ol4c78rkm0ugb8,4
dpjf3ys82e8ogok1huyfd64no,20
dqvzs325coup7j9iqyfcazmdw,12
drdzv152kp1zoqqdbl98trj10,6
drhnleuu8ae9hudku3cehgb9w,49
dt091ishr3km0wuuhiatev9xw,22
du1wib350joxeh5hdv9v8yihg,15
duivyh7ccvqb0o2ykwgvaq5uc,60
dvmreijz690fz4wcvl8yw1kic,5
dw8a4f7k9qt9iyxuuno9rvztg,25
dwvrsfezoy7lsopii72xnd1xw,17
dwztfp6va3lnxnao66y2odq8k,86
dyrd81lg1d8eb5ptsbq1tg6j8,8
e0cja3pwz23dl8uqycthu33f8,13
e0tuth9cc11wefswrzq1cjyms,12
e1650lh8xyaev5kzm5v3m2kgk,8
e2ydwakqnrmekfzdr48j9n3f8,56
e6vo7nt78kq3sax8h8o1ke4gk,7
e9vop6xkarhbdtysjlqtm4w7o,11
ecz9iyxyc5ira9n59m8cp3bis,7
egwl2zpb2lsojatd5oln6xn9w,4
ejqw6juegshs0txtuuxahtno4,3
eqncupz92qy89z9bxks1e0t90,12
esy974nh0dqx61hrn6g35y044,65
ewgb5fczpfa71pfzihlip6yok,55
exzov7o3p9v5vqr86qipfm1w4,22
f19ucr3rev3uy5uvxjxznqsk4,23
rf7k8o1xjf0xw5zrgpbtmhg,9
